text,label,source,collected_at,auto_label,confidence
"Aight, lemme know what's up
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.92
"Sending you greetings of joy and happiness. Do have a gr8 evening
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.87
"And do you have any one that can teach me how to ship cars.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.9
"Good Morning my Dear Shijutta........... Have a great &amp; successful day.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.89
"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.93
"Haha... Hope ü can hear the receipt sound... Gd luck!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.91
"Oh really?? Did you make it on air? What's your talent?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.89
"Yo im right by yo work
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.87
"U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.95
"Sir, I need Velusamy sir's date of birth and company bank facilities details.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.86
"Ha... U jus ate honey ar? So sweet...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.9
"Wat time liao, where still got.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.94
"Dear good morning now only i am up
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.87
"Where are you?when wil you reach here?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.89
"So how many days since then?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.86
"Ü dun wan to watch infernal affair?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.72
"NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"I am not at all happy with what you saying or doing
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.78
"Carlos says we can pick up from him later so yeah we're set
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.82
"Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.75
"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.92
"thanks for the temales it was wonderful. Thank. Have a great week.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.8
