text,label,source,collected_at,predicted_label,model_confidence
"You still coming tonight?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.725
"""HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X""
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.655
"Ya even those cookies have jelly on them
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.667
"Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.693
"When are you going to ride your bike?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.711
"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.681
"Don't Think About ""What u Have Got"" Think About ""How to Use It That You Have Got"" gooD ni8
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.716
"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.773
"Thank you. do you generally date the brothas?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.693
"What you did in  leave.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.765
"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.638
"Yup, leaving right now, be back soon
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.654
"Doing nothing, then u not having dinner w us?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.699
"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.602
"Convey my regards to him
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.673
"T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.712
"K:)k:)what are detail you want to transfer?acc no enough?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.702
"Yeah just open chat and click friend lists. Then make the list. Easy as pie
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.629
"IM GONNA MISS U SO MUCH
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.706
"Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.688
"Meet after lunch la...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.655
"Me sef dey laugh you. Meanwhile how's my darling anjie!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.744
"Oh did you charge camera
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.733
"Hope you are having a great day.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.759
